"Protein ID","p2d1","p2d2","p2d3","p2d4","p2d5","p2d6","p2d7","p2d8"
"sp|P05451|REG1A_HUMAN",0.009510112,0.00545822,0.010826617,0.00046577,0.009300467,0.042741293,0.008067804,0.004577836
"sp|P80188|NGAL_HUMAN",0.009674454,0.017310082,0.015137822,0.016539462,0.010758187,0.007455288,0.007535571,0.012737897
"sp|P00813|ADA_HUMAN",0.009221841,0.006420973,0.004310823,0.000865069,0.004288985,0.003537588,0.002590764,0.004152728
"sp|P04746|AMYP_HUMAN",0.001778479,0.001645824,0.002706527,0.002368489,0.004223935,0.005688871,0.002282087,0.001208744
"sp|P25311|ZA2G_HUMAN",0.010935437,0.004240931,0.004640673,0.003282889,0.005375087,0.003804418,0.006172987,0.014079542
"sp|P48052|CBPA2_HUMAN",0.002979618,0.002473486,0.006027806,0.004239363,0.003540085,0.002198115,0.003461276,0.002341246
"sp|P0C7U2|ASA2C_HUMAN",0.002149299,0.002859063,0.000893875,0.002513441,0.001743927,0.001501175,0.001147931,0.001541554
"sp|P0CG05|LAC2_HUMAN",0.008916518,0.000616285,0.002552449,0.001458827,0.011403916,0.017114708,0.01157923,0.014869312
"sp|P01877|IGHA2_HUMAN",0.00100125,0.000761655,0.000950357,0.001375599,0.001148015,0.001141592,0.001709451,0.002455079
"sp|P19961|AMY2B_HUMAN",0.001832507,0.001330746,0.001238113,0.002411385,0.004012186,0.004289015,0.001738532,0.000777712
"sp|P06731|CEAM5_HUMAN",0.001961231,0.001199522,0.000599821,0.00128081,0.000638445,0.000386392,0.000495934,0.001734702
"sp|P04264|K2C1_HUMAN",0.001979857,0.001660769,0.001459039,0.003285828,0.000683192,0.002210295,0.001642693,0.002084105
"sp|P01008|ANT3_HUMAN",0.005335935,0.004116979,0.003933752,0.006247303,0.003281093,0.003393617,0.005781318,0.006628949
"tr|E7ER45|E7ER45_HUMAN",0.000503384,0.000646247,0.00090677,0.001147286,0.00061518,0.000376886,0.000439091,0.000436398
"sp|Q9HAT2|SIAE_HUMAN",0.003119567,0.002969449,0.001477533,0.002534988,0.0021587,0.001507336,0.001285037,0.002718654
"sp|Q16819|MEP1A_HUMAN",0.001260586,0.00082325,0.002548242,0.000209831,0.001905391,0.003410683,0.00125356,0.001793175
"sp|P08236|BGLR_HUMAN",0.000449881,0.000697077,0.000242576,0.000950143,0.000728336,0.000550858,0.000199371,0.00072923
"sp|O60844|ZG16_HUMAN",0.000521849,0.006791638,0.000538951,0.002326273,0.000418996,0.000385215,0,0.002140925
"sp|Q2M2H8|MGAL_HUMAN",0.000349229,0.00046253,0.000594677,0.000751088,0.000471056,0.000272765,0.000309327,0.000310539
"sp|P05187|PPB1_HUMAN",0.002083772,0.001576811,0.001587389,0.002390868,0.002671414,0.002056312,0.002636302,0.001493266
"sp|Q9Y646|CBPQ_HUMAN",0.002921755,0.003224668,0.002422089,0.003015204,0.002023683,0.001775457,0.001132599,0.003052218
"sp|P02788|TRFL_HUMAN",0.004248107,0.005019501,0.003112836,0.005721575,0.0026302,0.002499535,0.00244312,0.004261345
"sp|P16444|DPEP1_HUMAN",0.001598795,0.003156969,0.001224605,0.003042285,0.000907436,0.000575981,0.000223788,0.001262524
"sp|P06870|KLK1_HUMAN",0.001655895,0.001485244,0.002182516,0.000903443,0.002433717,0.002882949,0.002663842,0.00091761
"tr|Q96K68|Q96K68_HUMAN",0.001848216,0.000588939,"4.58248E-05",0.000626055,0.001605914,0.002421335,0.001401534,0.001821334
"sp|P13645|K1C10_HUMAN",0.001501359,0.00133265,0.00137577,0.003886887,0.000388421,0.001128361,0.000999248,0.001813014
"sp|P01625|KV402_HUMAN",0.007396824,0.001700676,0.0017792,0.001540384,0.005520241,0.010164754,0.004159591,0.007367936
"sp|B9A064|IGLL5_HUMAN",0.001176158,0.000910441,0.000421432,0.00090547,0.001354256,0.00499343,0.003917559,0.002334098
"sp|P12830|CADH1_HUMAN",0.002692144,0.000953636,0.000537395,0.000796494,0.000918209,0.001067103,0.001001071,0.001564685
"sp|P09622|DLDH_HUMAN",0.000853161,0.001464012,0.001520053,0.001614473,0.002120305,0.002835518,0.001275706,0.0034073
"sp|P61626|LYSC_HUMAN",0.004622503,0.005692875,0.003554945,0.010532079,0.0036747,0.003459527,0.008527412,0.003642777
"sp|P00441|SODC_HUMAN",0.001789392,0,0.001371358,0,0.004019078,0.003772378,0.003670427,0.002467275
"sp|P05164|PERM_HUMAN",0.003189884,0.003128249,0.004495654,0.008264998,0.002437046,0.001341495,0.002358463,0.002124145
"sp|P02768|ALBU_HUMAN",0.000546101,0,0.003899464,0.003236346,0,"6.56283E-05",0.001561262,0.003393641
"sp|P02792|FRIL_HUMAN",0.002204311,0.002592972,0.003471027,0.007265122,0.001696057,0.00222668,0.00255587,0.004911676
"sp|P35527|K1C9_HUMAN",0.000525048,0.000365456,0.000228177,0.002255241,0.000651787,0.001141929,0.000974647,0.000926768
"sp|P35908|K22E_HUMAN",0.000460897,0.00050716,0.000776356,0.003446054,0.00024803,0.00082484,0.000766226,0.00067571
"sp|P29508|SPB3_HUMAN",0.002091631,0.001748458,0.002832549,0.0059105,0.000209791,0.001178569,0.000235838,0.007930635
"sp|P13688|CEAM1_HUMAN",0.000994271,0.000924321,0.000586027,0.001478949,0.000398514,0.000129465,0.0004935,0.000530183
"sp|Q14CN2|CLCA4_HUMAN",0.001089509,0.000105352,"4.90677E-05",0.000212915,0.0001634,0.000407934,0.000500418,0.001804135
"sp|P01620|KV302_HUMAN",0.001671072,0.002375804,0.005516799,0.005210032,0.00355246,0.003327942,0.005377875,0.001836863
"sp|P07355|ANXA2_HUMAN",0.002855279,0.000477592,0.000598851,0.001655723,0.002068345,0.002596865,0.000980502,0.001289076
