"Protein ID","p2d1","p2d2","p2d3","p2d4","p2d5","p2d6","p2d7","p2d8"
"sp|P01912|2B13_HUMAN",0.000774262,0.000244683,0.000508571,0.001683036,0.000570509,0.000500319,0.000847782,0.000901244
"tr|A2NH55|A2NH55_HUMAN",0,0.000286287,0.00020212,0,0.000456492,0.000563499,0.000136018,0.000354956
"sp|P13533|MYH6_HUMAN",0.000140908,0.000116525,0,0,"1.93611E-05",0,0,0.000020126
"sp|Q12802|AKP13_HUMAN","3.30625E-05","2.28922E-05","7.98286E-06",0,0,"6.48724E-06","1.08311E-05","2.81621E-05"
"sp|P01906|DQA2_HUMAN",0.000442937,0.000380623,0.000265611,0.000767329,0.000695437,0.000500133,0.000508982,0.000546579
"tr|W8QEY1|W8QEY1_HUMAN",0.000256184,0.000137014,"6.34223E-05",0.000108745,"8.89401E-05",0.00016072,"8.62417E-05",0.000224896
"tr|A0A068LKQ8|A0A068LKQ8_HUMAN",0,0,0,0,0,0.00011532,0,0
"sp|P02763|A1AG1_HUMAN",0.00090651,0,0.000448689,0,0.000467302,"9.40483E-05",0.000458546,0.001199724
"tr|Q5NV92|Q5NV92_HUMAN",0,0,0.000228661,0,0.000636092,0.000835057,0.001001329,0.000413398
"sp|P01871|IGHM_HUMAN","5.26702E-05",0,0.000167941,0,0.000196169,0.000779476,"6.78295E-05",0
"tr|S6B291|S6B291_HUMAN",0,0,0,0,0,0.000136839,0,0
"sp|P02753|RET4_HUMAN",0.000570095,0,0.000448689,0,0.000279787,0.000871761,0.000533387,0.001094821
"sp|P05783|K1C18_HUMAN",0.000166382,0,0.000104868,0,0,0,0,0.00022765
"sp|P08311|CATG_HUMAN","8.44019E-05",0.000380979,0.000999202,0.000756152,0.000100765,0,0.000134908,0
"sp|Q9H190|SDCB2_HUMAN",0,0,0,0,0,0,0,0
"sp|O15273|TELT_HUMAN",0.000818897,0,0.00027002,0,0.000224798,0,0.000183586,0.000957493
"sp|O00754|MA2B1_HUMAN","2.36089E-05","9.54103E-05","9.72949E-05",0.000406884,0.000175407,0.000133773,0.000155329,0
"sp|P08727|K1C19_HUMAN",0,0,0,0,0,0,0,0
"sp|P30531|SC6A1_HUMAN",0,0,0.0003777,0.000164083,0.000296054,0.000235203,0.000191246,0
"sp|Q92542|NICA_HUMAN",0.000253685,0.000137401,0.000254405,0.000193823,0.000125061,0.000186784,0.000129727,0.000283255
"tr|B4DUZ6|B4DUZ6_HUMAN",0.000236738,"9.51192E-05","6.66075E-05",0,0,"8.18329E-05","9.05729E-05",0.000118096
"sp|P07384|CAN1_HUMAN",0.000261099,0,0.000252369,0,"3.56189E-05",0.000335367,0.000171759,0.000139697
"sp|P01621|KV303_HUMAN",0,0,0,0,0,0.000266147,0.000308499,0.00019793
"sp|Q86VV8|RTTN_HUMAN",0,0,0,0,0,0,0,0
"sp|P01040|CYTA_HUMAN",0.001192587,0,0.000460135,0,0,0.000786938,0,0.003282703
"sp|P05787|K2C8_HUMAN",0,0,0,0,0,0,0,0
"sp|P68133|ACTS_HUMAN",0.000477698,0.000340912,0.000119611,0,0.000199158,0.000105773,0.000121732,0.001433484
"sp|A6NKL6|T200C_HUMAN",0,"5.22102E-05","7.26139E-05",0.00015827,0.000165084,"5.98266E-05",0.0001591,0
"sp|P56470|LEG4_HUMAN",0,0.000101124,0.000139608,0,0.000116227,0.000140924,0,0.000126707
"sp|P06314|KV404_HUMAN",0,0,0,0,0,0,0,0
"sp|P15259|PGAM2_HUMAN",0.000171533,0,0.000266992,0.000150921,0.000775422,0.000179915,0.000391824,0.000316011
"sp|P34931|HS71L_HUMAN",0,0,0,0,0,0,0,0
"sp|Q9NQS3|PVRL3_HUMAN","8.25673E-05","5.84046E-05",0,0,0.000102436,0.000272029,"2.80964E-05",0
"sp|P25815|S100P_HUMAN",0.0007284,0,0,0,0,0.00019209,0.000322725,0.001044021
"sp|P02679|FIBG_HUMAN",0,0,0.001940499,0,0,0.000199518,0,0
"sp|Q92484|ASM3A_HUMAN",0,0,0,0,0.000041601,"2.94767E-05","3.40506E-05",0
"tr|Q9UL88|Q9UL88_HUMAN",0,0,0,0,0,0.000486771,0.000234038,0.000610311
"sp|P02787|TRFE_HUMAN",0.000167946,0.000185503,0.000291697,0.000280328,0.000217251,"9.93091E-05",0.000119924,0.000199681
"sp|P11055|MYH3_HUMAN",0.000107221,0.000200229,"6.97318E-05","1.96819E-05","4.57053E-05","6.88295E-06",0,"8.24234E-05"
"tr|A2N2G5|A2N2G5_HUMAN",0,0,0,0,0,0,0.000114259,0
"tr|Q0ZCG9|Q0ZCG9_HUMAN",0.000768636,0.00080289,0,0.00063899,0.001097488,0.000746956,0.000819269,0.000660749
"sp|P01034|CYTC_HUMAN",0,0,0,0,0,0,0,0
"sp|P01612|KV120_HUMAN",0.000218412,0,0,0,0,0.000121667,0.000562549,0
"tr|Q6PIQ7|Q6PIQ7_HUMAN",0,0,0,0,0.000318778,0.000700165,0.000195271,0
"sp|P01602|KV110_HUMAN",0,0,0,0,0.000320865,0.000383447,0.000130205,0.001191261
"sp|P01767|HV306_HUMAN",0,0.001124624,0.000196848,0.000332026,0.000162573,0.000512717,0.00013413,0.000517809
"sp|P04434|KV310_HUMAN",0,0,0,0,0,0.000271641,0,0.000165787
"sp|P01615|KV202_HUMAN",0,0,0,0,0,0,0,0
"tr|S6AWD6|S6AWD6_HUMAN",0.000256989,0,0,0,0.000105033,0.000358241,0.000430066,0.000219237
"tr|S6BGE0|S6BGE0_HUMAN",0,0,0,0,"6.23198E-05",0.000107522,0.000102196,0
"sp|P15586|GNS_HUMAN",0,0,0,0.000425369,"3.41399E-05",0.00009643,0.000318267,0
"tr|Q9HCC1|Q9HCC1_HUMAN",0,0,0,0,0.000166928,0.00035604,0,0
"tr|Q9UL90|Q9UL90_HUMAN",0,0,0,0,0,0.000117361,0,0
"sp|P05154|IPSP_HUMAN",0.000176217,0.000319578,0,0,0.000155106,0.00026408,0.000113507,0.000100804
"sp|P50416|CPT1A_HUMAN",0,0.000042255,0.000350781,"7.53533E-05","3.32409E-05",0.000167795,0.000132657,0
"sp|Q16651|PRSS8_HUMAN",0.000329297,0,0,0,0.00010945,0.000294225,"8.93846E-05",0.000639441
"sp|O60218|AK1BA_HUMAN",0,0.000307148,0.000475737,0,0.000361549,0.001006862,0.00025305,"6.45653E-05"
"sp|P12814|ACTN1_HUMAN",0.000170481,"3.63481E-05",0,0,0.000168346,0,"1.70785E-05",0.000470397
"sp|Q76KP1|B4GN4_HUMAN","4.40269E-05",0,0,0,0,"1.75636E-05","2.95081E-05","5.78996E-05"
"sp|Q5JS37|NHLC3_HUMAN",0,0,0,0,"5.38788E-05","7.66994E-05",0,0
"tr|A0A068LRW0|A0A068LRW0_HUMAN",0,0,0,0,0.0001558,0.000110515,0,0
"tr|A0A075B6K5|A0A075B6K5_HUMAN",0,0,0,0,0,0.000158683,0.000132469,0
"tr|A0A075B6S5|A0A075B6S5_HUMAN",0.000204005,0.000277116,0.000385412,0.000497847,0.000377161,0.000114128,0.000392247,0.000683339
"sp|P05496|AT5G1_HUMAN",0,0.000237732,0.00077382,0,0,0,0,0
"tr|H7BZQ8|H7BZQ8_HUMAN",0.000228112,0,0,0,0.00042425,0.000358659,0.000474314,0
"sp|P02533|K1C14_HUMAN",0,0,0.000208401,0.000127337,0,"7.87125E-05",0,0
"sp|P18669|PGAM1_HUMAN",0.000358557,0.001019538,0.000355065,0,0.000201288,0.000179206,0.000269577,0.000314766
"sp|Q13642|FHL1_HUMAN","6.66331E-05",0,0,0,0.000232453,0.000297004,"9.49193E-05",0.001113182
"sp|Q6P5S2|CF058_HUMAN",0,0.000490618,0,0.000115706,0.000190827,"9.57622E-05",0.000185812,0.000608569
"sp|Q9HD89|RETN_HUMAN",0.000843272,0.001198901,0.00041753,0.001458203,0.000821002,0,0.001201764,0.001480568
"tr|A2JA16|A2JA16_HUMAN",0.000426938,0,0,0,0,0.000347218,0.000573064,0.000556524
"sp|Q8WWU7|ITLN2_HUMAN",0,0,0,0,"7.82519E-05","8.18913E-05",0,0
"sp|Q96N76|HUTU_HUMAN",0,0.000143713,"3.34874E-05","5.78918E-05","7.56317E-05",0,0,0
"tr|A0A075B7D4|A0A075B7D4_HUMAN",0,0,0,0,0,0.000317541,0.000524084,0
"sp|Q96RE9|ZN300_HUMAN",0,0,0,0,0,0,0,0
"tr|Q9TES2|Q9TES2_HUMAN",0.00045744,0.001940589,0,0.000391349,0.000254319,0.000567111,0.001074017,0.000408052
"sp|Q15907|RB11B_HUMAN",0,0,0,0,0,0,0,0.000187736
"sp|P50443|S26A2_HUMAN",0,0,0,0,0,0,0,0
"sp|P01598|KV106_HUMAN",0.000199282,0,0,0.000715906,0.000347604,0.000765469,0.000426702,0.000740284
"sp|O15455|TLR3_HUMAN","7.69369E-05",0,0,"4.32908E-05",0.000111188,0.000161264,"6.78295E-05",0.000088441
"tr|A0A075B6H8|A0A075B6H8_HUMAN",0,0,0,0,0,0,0.00013072,0
"tr|A0A5E4|A0A5E4_HUMAN",0,0,0,0,0,0.000136874,0,0
"sp|P04075|ALDOA_HUMAN",0,0.001157137,0.00058019,0,"6.98678E-05","3.64334E-05","4.18516E-05",0.000219645
"sp|P48594|SPB4_HUMAN",0,0,0.000115624,0.000347605,0,0,0,0.001141577
"tr|A0N7J6|A0N7J6_HUMAN",0,0,0,0,0,0,0,0
"tr|Q53ZX8|Q53ZX8_HUMAN",0.000796589,0.002709386,0.001168851,0.000920451,0.00097225,0.000442289,0.001545125,0.001187424
"sp|P29622|KAIN_HUMAN","5.04039E-05",0,0.00031724,0,0,0,0.000143154,0.000185527
"sp|Q8NFJ5|RAI3_HUMAN",0,0,0,0,0,0,0,0
"tr|Q7Z379|Q7Z379_HUMAN",0,0,0,0,"3.91129E-05",0.000189083,"6.37405E-05",0
"sp|K7EJ46|SIM22_HUMAN",0,0,0,0,0,0,0,0.000142454
"sp|P06753|TPM3_HUMAN",0.000167282,0,0,0.000133975,0.000197847,0.000112861,0,0.000352117
"sp|P13647|K2C5_HUMAN",0,0,0,0,0,0.00006297,0,0
"sp|P68871|HBB_HUMAN",0,0,0.001379788,0,0,0.000252737,0.001146453,0.000138793
"sp|Q9HC84|MUC5B_HUMAN","1.57952E-05",0,0,0,0,0,0,"1.74374E-05"
"tr|L0BWZ5|L0BWZ5_HUMAN",0.001045691,0,0,0,0,0,0.000517796,0.000230604
"tr|Q0ZCI0|Q0ZCI0_HUMAN",0,0,0,0,0,0,0,0
"sp|Q8WXI7|MUC16_HUMAN",0,"4.37063E-06","3.05754E-06","4.47986E-06","5.7522E-06",0,"4.61416E-06",0
"sp|Q9NVR2|INT10_HUMAN",0,0,0,0,0,0,0,0
"tr|A0A087X1C7|A0A087X1C7_HUMAN",0,0,0,0,"4.07906E-05","8.63126E-05",0,0
"tr|V9HW34|V9HW34_HUMAN",0,0,0,0,0,0.000113254,0.000130463,0
"sp|P07148|FABPL_HUMAN",0,0,0,0,0,0.00014369,0,0
"sp|P08246|ELNE_HUMAN",0,0.00097158,0.000700621,0.000432587,0.000166259,"4.96695E-05",0.000185901,"7.68681E-05"
"sp|P15289|ARSA_HUMAN",0,0,0,0,0,"7.86517E-05",0,0
"tr|A0N5G3|A0N5G3_HUMAN",0,0,0,0,0,0,0,0
"tr|A2JA14|A2JA14_HUMAN",0.000558048,0,0,0,0,0.000299615,0.000122855,0.000644764
"tr|Q7Z374|Q7Z374_HUMAN",0,0,0,0,0,0,"6.23149E-05",0
"sp|P01744|HV104_HUMAN",0,0,0,0,0,0,0,0
"sp|P53701|CCHL_HUMAN",0,0,"8.37903E-05",0,"7.03181E-05",0,0,0.00015271
"sp|P04431|KV123_HUMAN",0,0,0,0,0,0,0.000357239,0
"sp|P08962|CD63_HUMAN",0,0,0,0,0,0,0,"8.08038E-05"
"sp|Q02487|DSC2_HUMAN",0.00010108,0,"2.51248E-05","8.58134E-05",0.000176072,0.000141446,0.000093116,0
"sp|Q8WW52|F151A_HUMAN",0.00011889,0,0,0,0.000064173,0,"5.24084E-05","6.67082E-05"
"sp|P13760|2B14_HUMAN",0.00042462,0,0.000169524,0.000434214,0.000237731,0,0.000403048,0.000374976
"sp|O14556|G3PT_HUMAN",0,0,0,0,0,0,0,0
"sp|O75131|CPNE3_HUMAN",0.000169597,0,0,0,0.000152084,0.000143612,"8.58172E-05","3.82193E-05"
"sp|O75369|FLNB_HUMAN","3.50013E-05",0,0,0,"7.18522E-06","1.42784E-05","1.17828E-05","3.07266E-05"
"sp|P01599|KV107_HUMAN",0,0,0,0,0,0,0,0
"sp|P02462|CO4A1_HUMAN",0,0.000154801,"2.70181E-05",0,"5.31266E-05",0,0,0
"sp|P06311|KV311_HUMAN",0,0,0,0,0,0.000207927,0.000239523,0
"sp|Q93008|USP9X_HUMAN",0,"1.26158E-05",0,0,0,0,0,"2.36262E-05"
"sp|Q9BX68|HINT2_HUMAN",0.000558733,0.000198353,0.00013888,0,0.000115615,0.000227928,0,0.000859561
"tr|Q5NV79|Q5NV79_HUMAN",0,0,0,0,0,0.000644111,0.000309686,0
"sp|O60941|DTNB_HUMAN",0,0,0,0,0,0,0,0
"sp|P17174|AATC_HUMAN","5.21125E-05","7.90874E-05","5.48123E-05",0.000473775,0.000123794,0.000140739,0,0.000193585
"sp|P08779|K1C16_HUMAN",0,"6.85466E-05",0,0,0,"2.82303E-05",0,0
"sp|P12724|ECP_HUMAN",0,0.000608857,0.000281833,0.000739694,0,0,0,0
"tr|Q16768|Q16768_HUMAN",0.000986316,0.002942757,0.001024847,0,0,0.000414741,0,0.001817061
"tr|Q6PIL8|Q6PIL8_HUMAN",0,0,0,0,"7.98528E-05",0.000112774,0.000129911,0.000165357
"tr|S6C4Q7|S6C4Q7_HUMAN",0,0,0.000248078,0,0.000420698,0.000149544,0.000432635,0
"sp|P00505|AATM_HUMAN",0,0,0.000157091,0,0.000178656,"3.10533E-05",0,0.000044724
"sp|P11279|LAMP1_HUMAN",0,0,0,0,"9.00269E-05",0.000363128,0.000146587,0
"sp|P21589|5NTD_HUMAN","4.14755E-05",0,0,0.000169657,"6.56629E-05",0.000124526,0,0.000278574
"tr|A0A075B6S4|A0A075B6S4_HUMAN",0,0,0,0,0,0,0,0
"sp|P04080|CYTB_HUMAN",0,0,0.000460135,0,0.000262196,0.000650683,0.000155449,0
"sp|P06748|NPM_HUMAN",0,0.000330132,"7.63802E-05",0,0,0,0.000104282,0.000408661
"sp|P41222|PTGDS_HUMAN",0.000125624,0,0,0.000406936,0,0.000309849,0.000161363,0.000101217
"sp|P47989|XDH_HUMAN",0,0,0,0,0,0.000205099,0,0
"sp|Q5VTE0|EF1A3_HUMAN",0,0,0,0,"4.04674E-05","5.76075E-05",0,0
"sp|Q9NY74|ETAA1_HUMAN",0,0.000139182,"4.86968E-05",0,"4.80998E-05","3.47359E-05","1.64514E-05","2.21639E-05"
"sp|Q9ULL4|PLXB3_HUMAN",0,0,0,0,0,0,0,0
"tr|B4DPN1|B4DPN1_HUMAN",0.000122287,0.000182183,0.000256212,0.000433897,0.000144499,0.000214815,0,0
"sp|Q14204|DYHC1_HUMAN","9.34092E-06",0,0,0,"4.0241E-06","2.85444E-06",0,0
"sp|Q7L099|RUFY3_HUMAN",0,"6.96441E-05","9.61477E-05",0,"7.97269E-05",0,"3.24818E-05",0
"sp|Q9C029|TRIM7_HUMAN",0,0,0,0,0,"3.69935E-05","2.98121E-05",0
"sp|Q9H0W9|CK054_HUMAN",0.000144099,0,0,0.000184915,0.000140562,0.000200066,0.000253247,0.00012954
"tr|Q4GCC3|Q4GCC3_HUMAN",0,0,0,0,0,0,0,0
"tr|Q53FI7|Q53FI7_HUMAN",0,0,0,0,0.00015854,0,0,0.001210836
"tr|Q9UL71|Q9UL71_HUMAN",0,0,0,0,0,0,0,0
"tr|Q9UL86|Q9UL86_HUMAN",0,0,0,0,0,0,0,0
"tr|S6BGE9|S6BGE9_HUMAN",0,0,0,0,0,0,0,0
"sp|O15393|TMPS2_HUMAN",0,0,0,0,0,0,0,0
"sp|P06865|HEXA_HUMAN",0,0,0,0,0,"5.01389E-05",0,0
"sp|Q8N2U0|TM256_HUMAN",0,0,0,0,0,0.000353696,0,0
"tr|A2IPI2|A2IPI2_HUMAN",0.000190221,0,0,0,0,0.00011532,0,0.000172113
"sp|P01622|KV304_HUMAN",0,0,0,0,0,0,0,0
"sp|P15311|EZRI_HUMAN",0,0,0,0,0,0,0,0
"sp|P17900|SAP3_HUMAN",0.000113344,0,0,0,0,0,0,0.001034489
"sp|P21333|FLNA_HUMAN",0,0,0,0,"1.41825E-05",0,"5.75519E-06","4.49471E-05"
"sp|P69905|HBA_HUMAN",0,0,0.000317558,0,0,0.000133125,0.000539097,0
"sp|Q13231|CHIT1_HUMAN","9.80308E-05",0,"9.63768E-05","8.19377E-05",0,0,0.000230066,0.00017565
"tr|A2NB43|A2NB43_HUMAN",0.00040403,0,0,0,0.000217756,0.000534846,0.00013072,0
"tr|Q6N096|Q6N096_HUMAN",0,0,0,0,"8.05605E-05",0.000165493,0.000131583,0
"sp|O75264|SIM24_HUMAN",0,0,0,0,0.000393285,0,0,0
"sp|P08572|CO4A2_HUMAN",0,0,0,0,"1.09205E-05",0,0,0
"tr|A2IPI1|A2IPI1_HUMAN",0,0,0,0,0,0,0,0
"tr|B7ZM70|B7ZM70_HUMAN","8.30019E-05",0.000028816,0,0,0,0,0,0
"tr|Q0ZCI1|Q0ZCI1_HUMAN",0,0,0,0,0,0,0,0
"sp|P01708|LV205_HUMAN",0,0,0,0,0,0.000122504,0,0
"sp|P06319|LV605_HUMAN",0,0,0,0,0,0.000101931,0.00011629,0
"sp|P13987|CD59_HUMAN",0,0,0,0,0,0,0,0
"sp|P21926|CD9_HUMAN",0,0,"9.84903E-05",0,0,"8.00377E-05","6.68157E-05",0
"sp|Q9C098|DCLK3_HUMAN",0,0,0,0,0,0,0,0
"sp|Q9NXJ0|M4A12_HUMAN",0,0,0,0,0,0,0,0.000146158
"tr|A0A087X0N5|A0A087X0N5_HUMAN",0,0,0,0,0,0.000274378,0,0
"sp|P01023|A2MG_HUMAN",0,0,"7.65427E-05","4.07754E-05",0,"8.99712E-06","1.04647E-05",0
"sp|P01719|LV501_HUMAN",0,0,0,0,0,0.000246432,0.000283879,0
"sp|P02810|PRPC_HUMAN",0,0,0,0,0,0,0,0
"sp|P07858|CATB_HUMAN",0,0,0,0,0,0,0,0
"sp|P19652|A1AG2_HUMAN",0.000346025,0,0.00011172,0,0,0,0.000305064,0.000598345
"sp|P50995|ANX11_HUMAN","8.98832E-05",0.000128882,"4.44669E-05",0,"8.73818E-05",0.000179154,0,0
"sp|P54652|HSP72_HUMAN",0,0,0,0,0,0,0,0
"sp|Q68CJ6|SLIP_HUMAN",0,0,0,0,0,0,0,0
"tr|Q9UL82|Q9UL82_HUMAN",0,0,0,0,0,0,0,0
"sp|O00560|SDCB1_HUMAN",0,0,0,0,0,0,0,0
"sp|P35609|ACTN2_HUMAN",0.000126341,"7.24319E-05","2.51183E-05",0,0,0,0,0
"sp|P53634|CATC_HUMAN",0,0,0,0.00050508,0,0,0,0
"tr|A2NUT2|A2NUT2_HUMAN",0,0,0,0,0,0,0,0
"tr|O14549|O14549_HUMAN",0,0,0,0,0,0,0,0
"tr|S6BAM6|S6BAM6_HUMAN",0,0.000202907,0,0,0.000117684,0.000116465,0,0
"sp|P01743|HV102_HUMAN",0,0.000556287,0,0.001011547,0.000640454,0,0,0
"sp|P08758|ANXA5_HUMAN",0.000494812,0,0,0,0,0,"4.82029E-05","6.00978E-05"
"sp|P15814|IGLL1_HUMAN",0,0,0,0,0,0,"7.15211E-05",0
"sp|P22748|CAH4_HUMAN",0,0,0,0,0,0,0,0
"sp|Q30134|2B18_HUMAN",0,0,0,0,0.000166455,0.000118803,0.000243345,"7.22981E-05"
"sp|Q9BRT9|SLD5_HUMAN",0,0,0,0,0,0,0,0
"tr|Q5NV63|Q5NV63_HUMAN",0,0,0,0,0,0.000862574,0.000155807,0
"tr|Q6P5S8|Q6P5S8_HUMAN",0,0.000135865,0,0,0,"5.65802E-05",0,0
"tr|Q7Z2U7|Q7Z2U7_HUMAN",0,0,0,0,0,0,0,0
"sp|O43837|IDH3B_HUMAN","5.68193E-05",0,0,0,0.000327817,0,0,"5.29938E-05"
"sp|P01036|CYTS_HUMAN",0,0,0,0,0,0,0,0.000144699
"sp|P06703|S10A6_HUMAN",0.000794249,0,0,0,0,0.000148366,0,0
"sp|P06732|KCRM_HUMAN",0,0,0,0,0,0,0,0
"sp|P17540|KCRS_HUMAN",0,0,0,0,0,0,0,"4.89828E-05"
"sp|Q6UX82|LYPD8_HUMAN",0,0,0,0,0,0,0,0
"sp|Q86YZ3|HORN_HUMAN",0,0,0,0,0,0,0,"6.9449E-06"
"sp|Q9BQT8|ODC_HUMAN",0,0,0,0,0,0,0,0
"sp|Q9H0P0|5NT3A_HUMAN",0,0,0,0,0,0.000133522,"4.59075E-05",0.000121805
"tr|A2IPI6|A2IPI6_HUMAN",0,0,0,0,0.000165451,0,0.000134814,0.000180554
"tr|A2NKM7|A2NKM7_HUMAN",0,0,0,0,0,0,0,0
"tr|Q0ZCF9|Q0ZCF9_HUMAN",0,0,0,0,0,0.000224775,0.000422259,0
"sp|O75121|MFA3L_HUMAN",0.000169188,0,0,0,0,0,0,0.000343937
"sp|P04211|LV001_HUMAN",0,0,0,0,0,0.000454952,0,0
"sp|P32418|NAC1_HUMAN","9.36006E-05",0,0,0,"1.92147E-05",0,"3.15097E-05",0.000061827
"sp|P61224|RAP1B_HUMAN",0,0,0,0,0,0,0,0
"sp|Q00872|MYPC1_HUMAN",0,0,0,0,0,0,0,0.000140141
"sp|Q03001|DYST_HUMAN",0,0,0,0,0,0,0,0
"sp|Q5GAN6|RNS10_HUMAN",0,0.000149683,0.000942614,0,0,0.000259519,"7.05277E-05",0
"sp|Q9H6R7|CB044_HUMAN",0,0,0,0,0,"2.62187E-05",0,"5.59178E-05"
"sp|Q9UL51|HCN2_HUMAN",0,0,0,0,0,0,"5.58331E-05",0
"tr|A2NYU7|A2NYU7_HUMAN",0,0,0,0,0,0,0,0
"tr|Q53F26|Q53F26_HUMAN",0,0,0,0,0,0,0,0
"sp|P00738|HPT_HUMAN",0,0,0.000166824,0,0,0,0.000188551,0
"sp|P12277|KCRB_HUMAN",0.000239038,0.00017059,0,0,0,0,0,"5.04759E-05"
"sp|P80511|S10AC_HUMAN",0.000497217,0,0.000490144,0,0.000555729,0.000205475,0,0
"sp|Q13423|NNTM_HUMAN",0,0,0,0,0,0,0,0
"sp|Q8NDH3|PEPL1_HUMAN",0,0.000124447,"8.62204E-05",0.000147835,"9.77573E-05",0,"6.51452E-05",0
"sp|Q8WUM4|PDC6I_HUMAN",0,0,0,0,0,0,0,0
"sp|Q969X1|LFG3_HUMAN",0,0,0,0,0,0,0,0
"sp|Q9H6B9|EPHX3_HUMAN",0,0,0.000125259,0,0,0,0,0.000167105
"sp|Q9H6F2|TM38A_HUMAN",0,0,0,0,0,0,0,0
"sp|Q9NQ84|GPC5C_HUMAN",0,0,0,0,0,0,0,0
"tr|A0A075B6P5|A0A075B6P5_HUMAN",0,0,0,0,0,0.000221789,0,0
"tr|A0A087WXL8|A0A087WXL8_HUMAN",0,0.000250447,0.000087221,0.000116253,"4.91912E-05",0,"6.59013E-05",0
"tr|A2J1M8|A2J1M8_HUMAN",0,0,0,0,0,0,0,0
"tr|A2J423|A2J423_HUMAN","9.96106E-05",0,0,0,0,0.00005587,0,"8.53666E-05"
"tr|Q9UL77|Q9UL77_HUMAN",0,0,0,0,0,0.000175034,0.000567758,0
"sp|O60673|DPOLZ_HUMAN","7.60605E-06",0,0,0,0,0,0,0
"sp|O95857|TSN13_HUMAN",0,0,0,0,0,"8.94539E-05",0,0
"sp|P01624|KV306_HUMAN",0,0,0,0,0,0.000121667,0,0
"sp|P11021|GRP78_HUMAN",0,0,0,0,0,"4.05558E-05",0,0
"sp|P19075|TSN8_HUMAN",0,0,0,0,0,0,0,0
"sp|P48595|SPB10_HUMAN",0,0.00024471,"5.70213E-05",0,0,0,"7.72265E-05","9.82979E-05"
"sp|P48637|GSHB_HUMAN",0,0.000206221,"9.51335E-05",0,"5.36537E-05",0,0,0
"sp|P50747|BPL1_HUMAN","3.27919E-05",0,0,0,"5.17096E-05",0,"4.22299E-05","5.37524E-05"
"sp|P52272|HNRPM_HUMAN",0,0,0,0,0,0,0,0
"sp|Q15334|L2GL1_HUMAN","8.55953E-05","3.01355E-05",0,0,0,0,"2.86353E-05",0
"sp|Q7L5L3|GDPD3_HUMAN",0,0,0,0,"7.99744E-05","4.17036E-05",0,0
"sp|Q96QP1|ALPK1_HUMAN",0,0,0,0,0,"2.58565E-05",0,"1.64982E-05"
"sp|Q96QV6|H2A1A_HUMAN",0,0,0,0.000903443,0,0.000144303,0,0
"sp|Q9UBG3|CRNN_HUMAN",0,0,0.000182195,0,0,"3.68659E-05",0,"8.29244E-05"
"sp|Q9Y2C5|S17A4_HUMAN","4.79013E-05","6.57205E-05",0,0,0.000037918,"3.80356E-05",0.000061688,"8.23469E-05"
"tr|G4V2I7|G4V2I7_HUMAN",0,"5.88333E-05",0,0,0,0,0,0
"tr|Q6ZP85|Q6ZP85_HUMAN",0,0,0,0,0,0.000169354,0,0
"tr|Q8IWH8|Q8IWH8_HUMAN",0,0,0,0,0,0,0,0
"tr|Q9UP60|Q9UP60_HUMAN",0,0,0,0,0,0,0,0
"sp|O14529|CUX2_HUMAN",0,0,"3.03454E-05",0.000077726,0,0,0,0
"sp|P02585|TNNC2_HUMAN",0,0,0,0,0,0,0.000191618,0
"sp|P08183|MDR1_HUMAN",0,"2.50501E-05",0,0,"1.98686E-05","1.47685E-05","2.68763E-05",0
"sp|P13535|MYH8_HUMAN",0,0,0,0,"9.72909E-06",0,0,"6.14223E-05"
"sp|P14780|MMP9_HUMAN","9.51435E-05",0,0,0,0,0,0,0
"sp|P43251|BTD_HUMAN",0,"5.95425E-05",0,0.00014239,0,"4.90141E-05",0,0
"sp|P58005|SESN3_HUMAN",0,0,0,0,0,0,0,0
"sp|Q04118|PRB3_HUMAN",0,0,0,0,0,0,0,0
"sp|Q12929|EPS8_HUMAN",0,0,0,0,0,0,0,0
"sp|Q5M775|CYTSB_HUMAN",0,0,0,0,0,0,0,0
"sp|Q86V15|CASZ1_HUMAN",0,0,0,0,0,0,0,0
"sp|Q8IY34|S15A3_HUMAN","4.10819E-05",0,0,0,0,0,0,"3.31003E-05"
"sp|Q8NCR9|CLRN3_HUMAN",0,0,0,0,0.00011253,0.000260493,0,0
"sp|Q8NHP8|PLBL2_HUMAN",0,0,0,0,0,"4.51862E-05",0,0
"sp|Q96P63|SPB12_HUMAN",0,0,0,"9.42789E-05",0,0,0,0.000252483
"sp|Q9H0X9|OSBL5_HUMAN",0,0,0,0,0,0,0,0
"tr|A2J1N2|A2J1N2_HUMAN",0,0,0,0,0,0.000135324,0.000312846,0
"tr|A2NJV5|A2NJV5_HUMAN",0,0,0,0,0,0,0,0
"tr|Q9UL70|Q9UL70_HUMAN",0,0,0,0,0,0,0,0
"sp|A6NGW2|STRCL_HUMAN","1.34351E-05",0,0,0,0,0,0,0
"sp|O75340|PDCD6_HUMAN",0,0,0,0,0,0,0,0
"sp|P01604|KV112_HUMAN",0.000199282,0,0,0,0,0.000123638,0.000142823,0.000188913
"sp|P01605|KV113_HUMAN",0,0,0,0,0,0.000123638,0.000459589,0
"sp|P01610|KV118_HUMAN",0,0,0,0,0,0,0,0
"sp|P01763|HV302_HUMAN",0,0.000286518,0,0,0,0.000234262,0,0
"sp|P01776|HV315_HUMAN",0,0,0,0,0,0.000724271,0,0
